frame,spritename,x,y,w,h,confidence
412,ground.png,310,322,26,38,0.87868
412,ground.png,258,322,26,38,0.997273
412,ground.png,155,322,26,38,0.97636
412,ground.png,78,322,26,38,0.956994
412,ground.png,0,322,26,38,0.875674
412,ground.png,232,322,26,38,0.968942
412,largeHillS.png,0,265,130,56,0.941301
412,largeHillS.png,0,261,130,56,0.80703
412,smallHillS.png,26,265,78,30,0.974563
412,smallHillS.png,23,269,78,30,0.797541
412,smallHillS.png,30,263,78,30,0.753451
412,smallHillS.png,29,269,78,30,0.781287
413,bush2S.png,322,295,78,26,0.773027
413,bush3S.png,296,295,104,26,0.944192
413,cloud1S.png,219,64,52,39,0.95595
413,ground.png,129,322,26,38,0.947972
413,ground.png,206,322,26,38,0.871086
413,ground.png,104,322,26,38,0.87821
413,ground.png,361,322,26,38,0.976491
413,ground.png,52,322,26,38,0.999912
413,ground.png,181,322,26,38,0.945041
413,ground.png,26,322,26,38,0.970057
413,ground.png,284,322,26,38,0.966091
413,ground.png,335,322,26,38,0.949352
413,ground.png,310,322,26,38,0.87868
413,ground.png,258,322,26,38,0.997273
413,ground.png,155,322,26,38,0.97636
413,ground.png,78,322,26,38,0.959683
413,ground.png,0,322,26,38,0.875674
413,ground.png,232,322,26,38,0.968942
413,largeHillS.png,0,265,130,56,0.941287
413,largeHillS.png,0,261,130,56,0.806876
413,smallHillS.png,26,265,78,30,0.974564
413,smallHillS.png,23,269,78,30,0.797302
413,smallHillS.png,30,263,78,30,0.753457
413,smallHillS.png,29,269,78,30,0.781087
414,bush2S.png,322,295,78,26,0.773027
414,bush3S.png,296,295,104,26,0.944192
414,cloud1S.png,219,64,52,39,0.95595
414,ground.png,129,322,26,38,0.947972
414,ground.png,206,322,26,38,0.871086
414,ground.png,104,322,26,38,0.878211
414,ground.png,361,322,26,38,0.976491
414,ground.png,52,322,26,38,0.999925
414,ground.png,181,322,26,38,0.945041
414,ground.png,26,322,26,38,0.970057
414,ground.png,284,322,26,38,0.966091
414,ground.png,335,322,26,38,0.949352
414,ground.png,310,322,26,38,0.87868
414,ground.png,258,322,26,38,0.997273
414,ground.png,155,322,26,38,0.97636
414,ground.png,78,322,26,38,0.95803
414,ground.png,0,322,26,38,0.875674
414,ground.png,232,322,26,38,0.968942
414,largeHillS.png,0,265,130,56,0.929532
414,largeHillS.png,3,260,130,56,0.771208
414,smallHillS.png,26,265,78,30,0.974531
414,smallHillS.png,23,269,78,30,0.788647
414,smallHillS.png,30,263,78,30,0.753439
414,smallHillS.png,29,269,78,30,0.772388
415,bush2S.png,322,295,78,26,0.773027
415,bush3S.png,296,295,104,26,0.944192
415,cloud1S.png,219,64,52,39,0.95595
415,ground.png,129,322,26,38,0.947971
415,ground.png,206,322,26,38,0.871086
415,ground.png,104,322,26,38,0.878173
415,ground.png,361,322,26,38,0.976491
415,ground.png,52,322,26,38,0.999857
415,ground.png,181,322,26,38,0.945041
415,ground.png,26,322,26,38,0.970057
415,ground.png,284,322,26,38,0.966091
415,ground.png,335,322,26,38,0.949352
415,ground.png,310,322,26,38,0.87868
415,ground.png,258,322,26,38,0.997273
415,ground.png,155,322,26,38,0.976359
415,ground.png,78,322,26,38,0.95944
415,ground.png,0,322,26,38,0.875674
415,ground.png,232,322,26,38,0.968942
415,largeHillS.png,0,265,130,56,0.928943
415,largeHillS.png,3,260,130,56,0.769064
415,smallHillS.png,26,265,78,30,0.974606
415,smallHillS.png,23,269,78,30,0.791454
415,smallHillS.png,30,263,78,30,0.753478
415,smallHillS.png,29,269,78,30,0.771775
416,bush2S.png,322,295,78,26,0.773027
416,bush3S.png,296,295,104,26,0.944192
416,cloud1S.png,219,64,52,39,0.95595
416,ground.png,129,322,26,38,0.947971
416,ground.png,206,322,26,38,0.871087
416,ground.png,104,322,26,38,0.878216
416,ground.png,361,322,26,38,0.976491
416,ground.png,52,322,26,38,0.999866
416,ground.png,181,322,26,38,0.94504
416,ground.png,26,322,26,38,0.970057
416,ground.png,284,322,26,38,0.966091
416,ground.png,335,322,26,38,0.949352
416,ground.png,310,322,26,38,0.87868
416,ground.png,258,322,26,38,0.997273
416,ground.png,155,322,26,38,0.97636
416,ground.png,78,322,26,38,0.961863
416,ground.png,0,322,26,38,0.875674
416,ground.png,232,322,26,38,0.968942
416,largeHillS.png,0,265,130,56,0.928719
416,largeHillS.png,3,260,130,56,0.769097
